Epoch,Train Loss,Val Loss,Learning Rate,,,,Train Loss
1,1.3639,0.981029066,0.0001,,,,"tensor(1.3639, device='cuda:0')"
2,1.0246,0.901792253,9.75528E-05,,,,"tensor(1.0246, device='cuda:0')"
3,0.9272,0.875239306,9.04508E-05,,,,"tensor(0.9272, device='cuda:0')"
4,0.8579,0.86961352,7.93893E-05,,,,"tensor(0.8579, device='cuda:0')"
5,0.8055,0.850959403,6.54508E-05,,,,"tensor(0.8055, device='cuda:0')"
6,0.7595,0.826747768,0.00005,,,,"tensor(0.7595, device='cuda:0')"
7,0.717,0.832458479,3.45492E-05,,,,"tensor(0.7170, device='cuda:0')"
8,0.6835,0.819805048,2.06107E-05,,,,"tensor(0.6835, device='cuda:0')"
9,0.6574,0.813460086,9.54915E-06,,,,"tensor(0.6574, device='cuda:0')"
10,0.6466,0.809160534,2.44717E-06,,,,"tensor(0.6466, device='cuda:0')"
