epoch, train_total_loss, train_ce_loss, train_kd_loss, val_loss, val_miou, old_53_miou, new_9_miou, epoch_time_sec
1,0.68283,0.529206,0.153624,0.430643,0.37533,0.355572,0.397283,922.34
2,0.49998,0.398926,0.101055,0.395038,0.397516,0.36799,0.430322,913.99
3,0.447608,0.361585,0.086024,0.369647,0.431854,0.41444,0.449269,919.37
4,0.412391,0.334564,0.077827,0.355147,0.449183,0.429349,0.469018,922.2
5,0.384231,0.314251,0.06998,0.348174,0.451459,0.436216,0.466701,918.63
6,0.362339,0.298775,0.063564,0.341666,0.433563,0.396298,0.474968,920.3
7,0.345509,0.287533,0.057976,0.341056,0.460908,0.442415,0.479401,922.59
8,0.334512,0.278926,0.055586,0.338308,0.463491,0.443446,0.483536,920.69
9,0.326684,0.274668,0.052017,0.336371,0.463549,0.444013,0.483086,921.83
10,0.322817,0.271602,0.051215,0.336686,0.46432,0.444293,0.484346,923.45
